ID,brand,NIC,owner,image
015225725,NIKE AEROSWIFT,"18, 25, 28",NIKE Innovate C.V.,No Image
015582216,Sminiker,"8, 9, 28",Shen Zhen Shi Hao Wei Yun Cheng Ke Ji You Xian Gong Si,No Image
015827231,NIKE HYPERSTRONG,"18, 25, 41",NIKE Innovate C.V.,No Image
015960701,NIKEL PRIVÉ,3,Mirjana Brlečić,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZ6UO3JD7WNBUUFWG4IW56GENJKQ5AWQIFJ3IKH6ZXSQQBBISABUS
016026353,NIKE,41,NIKE Innovate C.V.,No Image
016207111,NIKEN,12,Yamaha Hatsudoki Kabushiki Kaisha,No Image
016490054,AK AKADEMIKLINIKEN,"3, 5, 41, 42, 44",Akademikliniken HJ Holding AB,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYSPRVBAQOOSZM42O7SI2WJYHBCQREUCIK2RKQRX6LGGKERCOCDIE
016661142,NIKE,"7, 8, 9, 12",Rehobot  Hydraulics AB,No Image
016768418,NIKE JOYRIDE,25,NIKE Innovate C.V.,No Image
017127929,Tiniker,"9, 25, 28",Xinliang Yu,No Image
017375155,komunikea,"35, 41",ALEJANDRO CARRETERO GARCIA,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMM53SH5OO6XI5FHUFVCMJEOMCCGM
017647199,AONIKE,"9, 35",Huqin Huang,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMMWIYND2VFM3IDMQ3SZ3Q4GZ3HWU
017769175,CM Philharmoniker Ball,"35, 41, 43",Kristina Bach,No Image
017945255,BERLINER SYMPHONIKER,"9, 16, 41",BEROLINA-ORCHESTER e.V. BERLINER SYMPHONIKER,No Image
017945256,BERLINER SYMPHONIKER,"9, 16, 41",BEROLINA-ORCHESTER e.V. BERLINER SYMPHONIKER,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMMQG2W5VWN2M7XKWYNTEK7MQQHRA
017953294,Syonike,9,"Shenzhen Lv Di Si Technology Co., Ltd",No Image
017964315,NIKE RTNA,"18, 25",NIKE Innovate C.V.,No Image
017967285,NIKECONNECT,9,NIKE Innovate C.V.,No Image
017967447,PERITUSKLINIKEN,"35, 42, 44",Perituskliniken AB,No Image
017968330,NIKECONNECT,25,NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMM2VFMQ4LOQQCE2PUOULSZJYSEJU
017976242,Unike,"5, 10",Köhler Pharma GmbH,No Image
017980838,etxenike,29,"M. ETXENIKE, S.A.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMM6FD4N2AFPJJR5AENUXMGBMCPEU
